0: GENIEReWeight_SBN_v1_multisigma_ZExpA1CCQE (type 3, 6 universes)
1: GENIEReWeight_SBN_v1_multisigma_ZExpA2CCQE (type 3, 6 universes)
2: GENIEReWeight_SBN_v1_multisigma_ZExpA3CCQE (type 3, 6 universes)
3: GENIEReWeight_SBN_v1_multisigma_ZExpA4CCQE (type 3, 6 universes)
4: GENIEReWeight_SBN_v1_multisigma_VecFFCCQEshape (type 3, 1 universes)
5: GENIEReWeight_SBN_v1_multisigma_RPA_CCQE (type 3, 6 universes)
6: GENIEReWeight_SBN_v1_multisigma_CoulombCCQE (type 3, 6 universes)
7: GENIEReWeight_SBN_v1_multisigma_NormCCMEC (type 3, 6 universes)
8: GENIEReWeight_SBN_v1_multisigma_NormNCMEC (type 3, 6 universes)
9: GENIEReWeight_SBN_v1_multisigma_DecayAngMEC (type 3, 1 universes)
10: GENIEReWeight_SBN_v1_multisigma_MaNCEL (type 3, 6 universes)
11: GENIEReWeight_SBN_v1_multisigma_EtaNCEL (type 3, 6 universes)
12: GENIEReWeight_SBN_v1_multisigma_MaCCRES (type 3, 6 universes)
13: GENIEReWeight_SBN_v1_multisigma_MvCCRES (type 3, 6 universes)
14: GENIEReWeight_SBN_v1_multisigma_MaNCRES (type 3, 6 universes)
15: GENIEReWeight_SBN_v1_multisigma_MvNCRES (type 3, 6 universes)
16: GENIEReWeight_SBN_v1_multisigma_NonRESBGvpCC1pi (type 3, 6 universes)
17: GENIEReWeight_SBN_v1_multisigma_NonRESBGvpCC2pi (type 3, 6 universes)
18: GENIEReWeight_SBN_v1_multisigma_NonRESBGvpNC1pi (type 3, 6 universes)
19: GENIEReWeight_SBN_v1_multisigma_NonRESBGvpNC2pi (type 3, 6 universes)
20: GENIEReWeight_SBN_v1_multisigma_NonRESBGvnCC1pi (type 3, 6 universes)
21: GENIEReWeight_SBN_v1_multisigma_NonRESBGvnCC2pi (type 3, 6 universes)
22: GENIEReWeight_SBN_v1_multisigma_NonRESBGvnNC1pi (type 3, 6 universes)
23: GENIEReWeight_SBN_v1_multisigma_NonRESBGvnNC2pi (type 3, 6 universes)
24: GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarpCC1pi (type 3, 6 universes)
25: GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarpCC2pi (type 3, 6 universes)
26: GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarpNC1pi (type 3, 6 universes)
27: GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarpNC2pi (type 3, 6 universes)
28: GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarnCC1pi (type 3, 6 universes)
29: GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarnCC2pi (type 3, 6 universes)
30: GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarnNC1pi (type 3, 6 universes)
31: GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarnNC2pi (type 3, 6 universes)
32: GENIEReWeight_SBN_v1_multisigma_RDecBR1gamma (type 3, 6 universes)
33: GENIEReWeight_SBN_v1_multisigma_RDecBR1eta (type 3, 6 universes)
34: GENIEReWeight_SBN_v1_multisigma_Theta_Delta2Npi (type 3, 1 universes)
35: GENIEReWeight_SBN_v1_multisigma_ThetaDelta2NRad (type 3, 1 universes)
36: GENIEReWeight_SBN_v1_multisigma_NormCCCOH (type 3, 6 universes)
37: GENIEReWeight_SBN_v1_multisigma_NormNCCOH (type 3, 6 universes)
38: GENIEReWeight_SBN_v1_multisigma_AhtBY (type 3, 6 universes)
39: GENIEReWeight_SBN_v1_multisigma_BhtBY (type 3, 6 universes)
40: GENIEReWeight_SBN_v1_multisigma_CV1uBY (type 3, 6 universes)
41: GENIEReWeight_SBN_v1_multisigma_CV2uBY (type 3, 6 universes)
42: GENIEReWeight_SBN_v1_multisigma_MFP_pi (type 3, 6 universes)
43: GENIEReWeight_SBN_v1_multisigma_FrCEx_pi (type 3, 6 universes)
44: GENIEReWeight_SBN_v1_multisigma_FrInel_pi (type 3, 6 universes)
45: GENIEReWeight_SBN_v1_multisigma_FrAbs_pi (type 3, 6 universes)
46: GENIEReWeight_SBN_v1_multisigma_FrPiProd_pi (type 3, 6 universes)
47: GENIEReWeight_SBN_v1_multisigma_MFP_N (type 3, 6 universes)
48: GENIEReWeight_SBN_v1_multisigma_FrCEx_N (type 3, 6 universes)
49: GENIEReWeight_SBN_v1_multisigma_FrInel_N (type 3, 6 universes)
50: GENIEReWeight_SBN_v1_multisigma_FrAbs_N (type 3, 6 universes)
51: GENIEReWeight_SBN_v1_multisigma_FrPiProd_N (type 3, 6 universes)
52: GENIEReWeight_SBN_v1_multisim_ZExpAVariationResponse (type 0, 100 universes)
53: GENIEReWeight_SBN_v1_multisim_RPA_CCQE (type 0, 100 universes)
54: GENIEReWeight_SBN_v1_multisim_CoulombCCQE (type 0, 100 universes)
55: GENIEReWeight_SBN_v1_multisim_NormCCMEC (type 0, 100 universes)
56: GENIEReWeight_SBN_v1_multisim_NormNCMEC (type 0, 100 universes)
57: GENIEReWeight_SBN_v1_multisim_NCELVariationResponse (type 0, 100 universes)
58: GENIEReWeight_SBN_v1_multisim_CCRESVariationResponse (type 0, 100 universes)
59: GENIEReWeight_SBN_v1_multisim_NCRESVariationResponse (type 0, 100 universes)
60: GENIEReWeight_SBN_v1_multisim_NonRESBGvpCC1pi (type 0, 100 universes)
61: GENIEReWeight_SBN_v1_multisim_NonRESBGvpCC2pi (type 0, 100 universes)
62: GENIEReWeight_SBN_v1_multisim_NonRESBGvpNC1pi (type 0, 100 universes)
63: GENIEReWeight_SBN_v1_multisim_NonRESBGvpNC2pi (type 0, 100 universes)
64: GENIEReWeight_SBN_v1_multisim_NonRESBGvnCC1pi (type 0, 100 universes)
65: GENIEReWeight_SBN_v1_multisim_NonRESBGvnCC2pi (type 0, 100 universes)
66: GENIEReWeight_SBN_v1_multisim_NonRESBGvnNC1pi (type 0, 100 universes)
67: GENIEReWeight_SBN_v1_multisim_NonRESBGvnNC2pi (type 0, 100 universes)
68: GENIEReWeight_SBN_v1_multisim_NonRESBGvbarpCC1pi (type 0, 100 universes)
69: GENIEReWeight_SBN_v1_multisim_NonRESBGvbarpCC2pi (type 0, 100 universes)
70: GENIEReWeight_SBN_v1_multisim_NonRESBGvbarpNC1pi (type 0, 100 universes)
71: GENIEReWeight_SBN_v1_multisim_NonRESBGvbarpNC2pi (type 0, 100 universes)
72: GENIEReWeight_SBN_v1_multisim_NonRESBGvbarnCC1pi (type 0, 100 universes)
73: GENIEReWeight_SBN_v1_multisim_NonRESBGvbarnCC2pi (type 0, 100 universes)
74: GENIEReWeight_SBN_v1_multisim_NonRESBGvbarnNC1pi (type 0, 100 universes)
75: GENIEReWeight_SBN_v1_multisim_NonRESBGvbarnNC2pi (type 0, 100 universes)
76: GENIEReWeight_SBN_v1_multisim_RDecBR1gamma (type 0, 100 universes)
77: GENIEReWeight_SBN_v1_multisim_RDecBR1eta (type 0, 100 universes)
78: GENIEReWeight_SBN_v1_multisim_COHVariationResponse (type 0, 100 universes)
79: GENIEReWeight_SBN_v1_multisim_DISBYVariationResponse (type 0, 100 universes)
80: GENIEReWeight_SBN_v1_multisim_FSI_pi_VariationResponse (type 0, 100 universes)
81: GENIEReWeight_SBN_v1_multisim_FSI_N_VariationResponse (type 0, 100 universes)
82: MINERvAE2p2h_SBN_v1_E2p2h_A_nu (type 3, 6 universes)
83: MINERvAE2p2h_SBN_v1_E2p2h_B_nu (type 3, 6 universes)
84: MINERvAE2p2h_SBN_v1_E2p2h_A_nubar (type 3, 6 universes)
85: MINERvAE2p2h_SBN_v1_E2p2h_B_nubar (type 3, 6 universes)
86: MINERvAq0q3Weighting_SBN_v1_Mnv2p2hGaussEnhancement (type 3, 4 universes)
87: MiscInteractionSysts_SBN_v1_C12ToAr40_2p2hScaling_nu (type 3, 6 universes)
88: MiscInteractionSysts_SBN_v1_C12ToAr40_2p2hScaling_nubar (type 3, 6 universes)
89: MiscInteractionSysts_SBN_v1_nuenuebar_xsec_ratio (type 3, 2 universes)
90: MiscInteractionSysts_SBN_v1_nuenumu_xsec_ratio (type 3, 2 universes)
91: MiscInteractionSysts_SBN_v1_SPPLowQ2Suppression (type 3, 10 universes)
92: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_CC_2Pi (type 3, 6 universes)
93: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_CC_3Pi (type 3, 6 universes)
94: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_CC_2Pi (type 3, 6 universes)
95: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_CC_3Pi (type 3, 6 universes)
96: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_np_CC_1Pi (type 3, 7 universes)
97: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_NC_1Pi (type 3, 6 universes)
98: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_NC_2Pi (type 3, 6 universes)
99: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_NC_3Pi (type 3, 6 universes)
100: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_NC_1Pi (type 3, 6 universes)
101: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_NC_2Pi (type 3, 6 universes)
102: NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_NC_3Pi (type 3, 6 universes)
103: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_CC_1Pi (type 3, 6 universes)
104: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_CC_2Pi (type 3, 6 universes)
105: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_CC_3Pi (type 3, 6 universes)
106: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_CC_1Pi (type 3, 6 universes)
107: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_CC_2Pi (type 3, 6 universes)
108: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_CC_3Pi (type 3, 6 universes)
109: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_NC_1Pi (type 3, 6 universes)
110: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_NC_2Pi (type 3, 6 universes)
111: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_NC_3Pi (type 3, 6 universes)
112: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_NC_1Pi (type 3, 6 universes)
113: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_NC_2Pi (type 3, 6 universes)
114: NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_NC_3Pi (type 3, 6 universes)
115: expskin_Flux (type 0, 1000 universes)
116: horncurrent_Flux (type 0, 1000 universes)
117: kminus_Flux (type 0, 1000 universes)
118: kplus_Flux (type 0, 1000 universes)
119: kzero_Flux (type 0, 1000 universes)
120: nucleoninexsec_Flux (type 0, 1000 universes)
121: nucleonqexsec_Flux (type 0, 1000 universes)
122: nucleontotxsec_Flux (type 0, 1000 universes)
123: piminus_Flux (type 0, 1000 universes)
124: pioninexsec_Flux (type 0, 1000 universes)
125: pionqexsec_Flux (type 0, 1000 universes)
126: piontotxsec_Flux (type 0, 1000 universes)
127: piplus_Flux (type 0, 1000 universes)
