name,type,nuniv
GENIEReWeight_SBN_v1_multisigma_ZExpA1CCQE,3,6
GENIEReWeight_SBN_v1_multisigma_ZExpA2CCQE,3,6
GENIEReWeight_SBN_v1_multisigma_ZExpA3CCQE,3,6
GENIEReWeight_SBN_v1_multisigma_ZExpA4CCQE,3,6
GENIEReWeight_SBN_v1_multisigma_VecFFCCQEshape,3,1
GENIEReWeight_SBN_v1_multisigma_RPA_CCQE,3,6
GENIEReWeight_SBN_v1_multisigma_CoulombCCQE,3,6
GENIEReWeight_SBN_v1_multisigma_NormCCMEC,3,6
GENIEReWeight_SBN_v1_multisigma_NormNCMEC,3,6
GENIEReWeight_SBN_v1_multisigma_DecayAngMEC,3,1
GENIEReWeight_SBN_v1_multisigma_MaNCEL,3,6
GENIEReWeight_SBN_v1_multisigma_EtaNCEL,3,6
GENIEReWeight_SBN_v1_multisigma_MaCCRES,3,6
GENIEReWeight_SBN_v1_multisigma_MvCCRES,3,6
GENIEReWeight_SBN_v1_multisigma_MaNCRES,3,6
GENIEReWeight_SBN_v1_multisigma_MvNCRES,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvpCC1pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvpCC2pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvpNC1pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvpNC2pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvnCC1pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvnCC2pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvnNC1pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvnNC2pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarpCC1pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarpCC2pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarpNC1pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarpNC2pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarnCC1pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarnCC2pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarnNC1pi,3,6
GENIEReWeight_SBN_v1_multisigma_NonRESBGvbarnNC2pi,3,6
GENIEReWeight_SBN_v1_multisigma_RDecBR1gamma,3,6
GENIEReWeight_SBN_v1_multisigma_RDecBR1eta,3,6
GENIEReWeight_SBN_v1_multisigma_Theta_Delta2Npi,3,1
GENIEReWeight_SBN_v1_multisigma_ThetaDelta2NRad,3,1
GENIEReWeight_SBN_v1_multisigma_NormCCCOH,3,6
GENIEReWeight_SBN_v1_multisigma_NormNCCOH,3,6
GENIEReWeight_SBN_v1_multisigma_AhtBY,3,6
GENIEReWeight_SBN_v1_multisigma_BhtBY,3,6
GENIEReWeight_SBN_v1_multisigma_CV1uBY,3,6
GENIEReWeight_SBN_v1_multisigma_CV2uBY,3,6
GENIEReWeight_SBN_v1_multisigma_MFP_pi,3,6
GENIEReWeight_SBN_v1_multisigma_FrCEx_pi,3,6
GENIEReWeight_SBN_v1_multisigma_FrInel_pi,3,6
GENIEReWeight_SBN_v1_multisigma_FrAbs_pi,3,6
GENIEReWeight_SBN_v1_multisigma_FrPiProd_pi,3,6
GENIEReWeight_SBN_v1_multisigma_MFP_N,3,6
GENIEReWeight_SBN_v1_multisigma_FrCEx_N,3,6
GENIEReWeight_SBN_v1_multisigma_FrInel_N,3,6
GENIEReWeight_SBN_v1_multisigma_FrAbs_N,3,6
GENIEReWeight_SBN_v1_multisigma_FrPiProd_N,3,6
GENIEReWeight_SBN_v1_multisim_ZExpAVariationResponse,0,100
GENIEReWeight_SBN_v1_multisim_RPA_CCQE,0,100
GENIEReWeight_SBN_v1_multisim_CoulombCCQE,0,100
GENIEReWeight_SBN_v1_multisim_NormCCMEC,0,100
GENIEReWeight_SBN_v1_multisim_NormNCMEC,0,100
GENIEReWeight_SBN_v1_multisim_NCELVariationResponse,0,100
GENIEReWeight_SBN_v1_multisim_CCRESVariationResponse,0,100
GENIEReWeight_SBN_v1_multisim_NCRESVariationResponse,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvpCC1pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvpCC2pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvpNC1pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvpNC2pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvnCC1pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvnCC2pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvnNC1pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvnNC2pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvbarpCC1pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvbarpCC2pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvbarpNC1pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvbarpNC2pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvbarnCC1pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvbarnCC2pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvbarnNC1pi,0,100
GENIEReWeight_SBN_v1_multisim_NonRESBGvbarnNC2pi,0,100
GENIEReWeight_SBN_v1_multisim_RDecBR1gamma,0,100
GENIEReWeight_SBN_v1_multisim_RDecBR1eta,0,100
GENIEReWeight_SBN_v1_multisim_COHVariationResponse,0,100
GENIEReWeight_SBN_v1_multisim_DISBYVariationResponse,0,100
GENIEReWeight_SBN_v1_multisim_FSI_pi_VariationResponse,0,100
GENIEReWeight_SBN_v1_multisim_FSI_N_VariationResponse,0,100
MINERvAE2p2h_SBN_v1_E2p2h_A_nu,3,6
MINERvAE2p2h_SBN_v1_E2p2h_B_nu,3,6
MINERvAE2p2h_SBN_v1_E2p2h_A_nubar,3,6
MINERvAE2p2h_SBN_v1_E2p2h_B_nubar,3,6
MINERvAq0q3Weighting_SBN_v1_Mnv2p2hGaussEnhancement,3,4
MiscInteractionSysts_SBN_v1_C12ToAr40_2p2hScaling_nu,3,6
MiscInteractionSysts_SBN_v1_C12ToAr40_2p2hScaling_nubar,3,6
MiscInteractionSysts_SBN_v1_nuenuebar_xsec_ratio,3,2
MiscInteractionSysts_SBN_v1_nuenumu_xsec_ratio,3,2
MiscInteractionSysts_SBN_v1_SPPLowQ2Suppression,3,10
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_CC_2Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_CC_3Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_CC_2Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_CC_3Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_np_CC_1Pi,3,7
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_NC_1Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_NC_2Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_n_NC_3Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_NC_1Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_NC_2Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nu_p_NC_3Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_CC_1Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_CC_2Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_CC_3Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_CC_1Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_CC_2Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_CC_3Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_NC_1Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_NC_2Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_n_NC_3Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_NC_1Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_NC_2Pi,3,6
NOvAStyleNonResPionNorm_SBN_v1_NR_nubar_p_NC_3Pi,3,6
expskin_Flux,0,1000
horncurrent_Flux,0,1000
kminus_Flux,0,1000
kplus_Flux,0,1000
kzero_Flux,0,1000
nucleoninexsec_Flux,0,1000
nucleonqexsec_Flux,0,1000
nucleontotxsec_Flux,0,1000
piminus_Flux,0,1000
pioninexsec_Flux,0,1000
pionqexsec_Flux,0,1000
piontotxsec_Flux,0,1000
piplus_Flux,0,1000
